DateTimestamp,IntValue,CTFFlag
2025-01-01 00:00:00,1002,CTF{863d88c4-acda-46a0-b237-ce65208a2006}
2025-01-01 00:01:00,996,CTF{520f942a-a580-45d8-ab70-197a6b52bd33}
2025-01-01 00:02:00,1002,CTF{64233db4-4818-4367-bb51-c7933adf94d8}
2025-01-01 00:03:00,1003,CTF{8fbe1939-f7f6-42ec-bdf4-2a2c0792dc62}
2025-01-01 00:04:00,1004,CTF{5ec4bf40-65c9-4926-aacc-6358380e1687}
2025-01-01 00:05:00,999,CTF{0144e93a-8d8b-4193-8eec-c9dc58d7f793}
2025-01-01 00:06:00,996,CTF{a4b0f2cc-bcbb-4c6d-96e4-a9532630b9c3}
2025-01-01 00:07:00,1005,CTF{01149734-c493-4c82-9ea1-814cff9ddd9a}
2025-01-01 00:08:00,997,CTF{f338d7ef-5148-42d3-8e99-2b2eacbb9fc9}
2025-01-01 00:09:00,998,CTF{e7f3dd1d-0425-40b6-a5de-4f328325829a}
2025-01-01 00:10:00,1002,CTF{cb2ab2d8-4337-43c7-aa01-39f657700ede}
2025-01-01 00:11:00,1011,CTF{05e8dec4-7f45-4a8a-b95d-c761c35a3407}
2025-01-01 00:12:00,1008,CTF{4f386893-fab4-48a7-82f8-1467a1db43fb}
2025-01-01 00:13:00,1010,CTF{ad492d4a-7f9b-43b7-b437-9a7ab4b4a6b1}
2025-01-01 00:14:00,1003,CTF{08e67abf-9291-4a63-bdc0-b543338970df}
2025-01-01 00:15:00,1005,CTF{f3f39dd2-a283-4a50-948e-312ef2c9f8d5}
2025-01-01 00:16:00,1007,CTF{dbf36197-b724-4942-993d-2f8bcc1e53d6}
2025-01-01 00:17:00,1010,CTF{7c4c37e2-8ece-47e7-8610-96fd48058fc6}
2025-01-01 00:18:00,1009,CTF{488a2327-2238-4a82-ae4a-f7dfac1ef1bf}
2025-01-01 00:19:00,1013,CTF{1a6a9b2d-a6d0-419f-9f49-6a2b57b38e90}
2025-01-01 00:20:00,1007,CTF{475232b4-cddb-4773-a63c-30f1be532567}
2025-01-01 00:21:00,1013,CTF{3e3b1093-8d9f-4d63-953c-ac7b591da030}
2025-01-01 00:22:00,1023,CTF{5779f9d2-774a-4426-90c8-b89115d96ddf}
2025-01-01 00:23:00,1022,CTF{173989ea-713e-4b41-b7a4-3620c604f410}
2025-01-01 00:24:00,1009,CTF{52d4021a-b63d-4a5e-a306-1b16f477c58d}
2025-01-01 00:25:00,1017,CTF{32b0e6ed-10ea-48f8-b572-267aa0ccddb6}
2025-01-01 00:26:00,1014,CTF{b43b4e6c-a3d5-45a8-a2ad-545577906731}
2025-01-01 00:27:00,1013,CTF{620b9a1f-21bd-4c49-b395-c4f0e8e7ccab}
2025-01-01 00:28:00,1009,CTF{4dd34130-8363-4542-b83b-68a77e9a3d09}
2025-01-01 00:29:00,1008,CTF{9104aece-b55e-4746-b54f-fc56becd0fca}
2025-01-01 00:30:00,1022,CTF{566e0fff-8ded-4c8b-8cbd-616f7f6044e5}
2025-01-01 00:31:00,1008,CTF{059ad54e-4e28-45b5-894b-d3addb5cdb16}
2025-01-01 00:32:00,1015,CTF{cd31fc99-071f-458b-aead-c4cc72217453}
2025-01-01 00:33:00,1015,CTF{3b304717-8e9b-45c7-9432-377645f32af5}
2025-01-01 00:34:00,1016,CTF{1acecf68-af5c-4ef8-b8da-2dbf55b71ae7}
2025-01-01 00:35:00,1017,CTF{7c5ec8b1-d775-465f-a84d-a4746beb6c31}
2025-01-01 00:36:00,1021,CTF{03dd29f1-99cd-45ea-8f23-20c475cf329b}
2025-01-01 00:37:00,1018,CTF{af616650-b197-4ce4-89a7-c0391c36ad0c}
2025-01-01 00:38:00,1013,CTF{6f0267f4-6f19-4e7b-a72d-3a769054686a}
2025-01-01 00:39:00,1015,CTF{fefd88bc-33d6-4686-8e3e-7df4166889d2}
2025-01-01 00:40:00,1030,CTF{be58d577-343c-4d03-8948-041d4aa88c4f}
2025-01-01 00:41:00,1018,CTF{87e0af2d-2e77-4756-b65d-bf16a36f9673}
2025-01-01 00:42:00,1016,CTF{e1a610fd-89cf-4869-b2e7-d35a8fd61b3e}
2025-01-01 00:43:00,1027,CTF{7650192b-f6ab-47f3-81c5-3532d198d803}
2025-01-01 00:44:00,1015,CTF{78f64bab-610d-463a-91bc-1accf137b9ca}
2025-01-01 00:45:00,1027,CTF{662cd159-6818-40b4-9b40-d5e7cde23b84}
2025-01-01 00:46:00,1033,CTF{885ab3c5-be94-4972-8410-7e1d35a5bc0a}
2025-01-01 00:47:00,1026,CTF{76912fb7-19c4-46d4-a358-9bb4fa6b0c71}
2025-01-01 00:48:00,1027,CTF{189fbc12-907d-4c13-afcb-a4db7d000cee}
2025-01-01 00:49:00,1020,CTF{eba8013b-71ff-462c-bf9f-d0a77fbb5491}
2025-01-01 00:50:00,1032,CTF{ed0aaa21-c58d-4e8e-82e7-544cc2bcd1b6}
2025-01-01 00:51:00,1022,CTF{5cf9a9b9-9f92-4924-96d3-b48e7bf11e05}
2025-01-01 00:52:00,1037,CTF{0f7c23a5-fe6a-44da-9abb-a1911fd878d8}
2025-01-01 00:53:00,1031,CTF{857fac9f-f9b0-44d3-b55c-767cf4f661ca}
2025-01-01 00:54:00,1029,CTF{7b530426-3956-4f73-b92a-319ab71a3bba}
